impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
restricted_quadratic_local,0.15,0.3,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979664,0.015306122448979598,6.591949208711867e-17,4.306740149691732e-15
restricted_quadratic_local,0.15,0.3,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938778,0.03918367346938777,1.3877787807814457e-17,3.541727096785979e-16
restricted_quadratic_local,0.15,0.35,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.35,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979553,0.015306122448979598,4.5102810375396984e-17,2.9467169445259435e-15
restricted_quadratic_local,0.15,0.35,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938778,0.03918367346938777,1.3877787807814457e-17,3.541727096785979e-16
restricted_quadratic_local,0.15,0.4,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.4,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979553,0.015306122448979598,4.5102810375396984e-17,2.9467169445259435e-15
restricted_quadratic_local,0.15,0.4,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938778,0.03918367346938777,1.3877787807814457e-17,3.541727096785979e-16
restricted_quadratic_local,0.15,0.45,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.45,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979664,0.015306122448979598,6.591949208711867e-17,4.306740149691732e-15
